2026-07-19 00:10:04,160 | 127.0.0.1 | POST | /api/v1/query | 200 | 15648.26 ms
2026-07-19 00:12:24,727 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.57 ms
2026-07-19 00:12:24,850 | 127.0.0.1 | DELETE | /api/v1/documents/16415372-11e3-46ad-86fd-5db722d67fa3 | 200 | 113.78 ms
2026-07-19 00:12:24,879 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.83 ms
2026-07-19 00:12:24,893 | 127.0.0.1 | GET | /api/v1/history | 200 | 6.62 ms
2026-07-21 10:46:57,917 | 127.0.0.1 | GET | /api/v1/documents | 200 | 828.07 ms
2026-07-21 10:46:58,832 | 127.0.0.1 | GET | /api/v1/history | 200 | 902.39 ms
2026-07-21 10:50:09,345 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.39 ms
2026-07-21 10:50:48,913 | 127.0.0.1 | POST | /api/v1/query | 200 | 39548.31 ms
2026-07-21 11:13:25,476 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.74 ms
2026-07-21 11:13:47,217 | 127.0.0.1 | POST | /api/v1/upload | 201 | 14445.87 ms
2026-07-21 11:13:47,250 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.32 ms
2026-07-21 11:13:47,261 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.12 ms
2026-07-21 11:15:01,318 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.41 ms
2026-07-21 11:15:27,944 | 127.0.0.1 | POST | /api/v1/query | 200 | 26615.16 ms
2026-07-21 11:31:13,738 | 127.0.0.1 | GET | /api/v1/documents | 200 | 84.64 ms
2026-07-21 11:31:13,751 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.19 ms
2026-07-21 11:34:42,769 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.12 ms
2026-07-21 11:34:42,783 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.62 ms
2026-07-21 11:43:27,671 | 127.0.0.1 | GET | /api/v1/documents | 200 | 53.06 ms
2026-07-21 11:43:27,688 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.28 ms
2026-07-21 11:43:53,927 | 127.0.0.1 | GET | /api/v1/documents | 200 | 7.20 ms
2026-07-21 11:44:14,622 | 127.0.0.1 | POST | /api/v1/query | 200 | 20669.20 ms
2026-07-21 11:44:29,072 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.29 ms
2026-07-21 11:44:49,878 | 127.0.0.1 | POST | /api/v1/query | 200 | 20777.85 ms
2026-07-21 11:45:18,250 | 127.0.0.1 | GET | /api/v1/documents | 200 | 6.42 ms
2026-07-21 11:45:38,665 | 127.0.0.1 | POST | /api/v1/query | 200 | 20387.96 ms
2026-07-21 12:25:13,995 | 127.0.0.1 | GET | /api/v1/documents | 200 | 21.81 ms
2026-07-21 12:29:45,992 | 127.0.0.1 | GET | /api/v1/documents | 200 | 21.39 ms
2026-07-21 12:29:46,024 | 127.0.0.1 | GET | /api/v1/history | 200 | 23.48 ms
2026-07-21 12:30:36,740 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.05 ms
2026-07-21 12:35:14,464 | 127.0.0.1 | GET | /api/v1/documents | 200 | 21.93 ms
2026-07-21 12:35:14,484 | 127.0.0.1 | GET | /api/v1/history | 200 | 12.61 ms
2026-07-21 12:35:32,499 | 127.0.0.1 | GET | /api/v1/documents | 200 | 6.98 ms
2026-07-21 12:35:47,150 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.20 ms
2026-07-21 12:38:41,689 | 127.0.0.1 | GET | /api/v1/documents | 200 | 22.51 ms
2026-07-21 12:38:41,711 | 127.0.0.1 | GET | /api/v1/history | 200 | 12.25 ms
2026-07-21 12:38:54,703 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.73 ms
2026-07-21 12:39:10,574 | 127.0.0.1 | POST | /api/v1/upload | 201 | 13591.88 ms
2026-07-21 12:39:10,615 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.50 ms
2026-07-21 12:39:10,631 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.73 ms
2026-07-21 12:39:19,499 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.36 ms
2026-07-21 12:39:19,514 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.99 ms
